Nationality,Native name
Egyptian Australian,مصريون أستراليون
Ethiopian Australian,ኢትዮጵያዊ አውስትራሊያዊ
Kenyan Australian,Mkenya wa Australia
Mauritian Australian,australien mauricien
Nigerian Australian,Nigerian Australian
Somali Australian,Soomaalida Ustraleeya
South African Australian,South African Australian
South African Australian,Suid-Afrikaanse Australiër
Sudanese Australian,أستراليون سودانيون
