Nationality,Native name
Australian,Australian
New Zealand Australian,New Zealand Australian
Papua New Guinean Australian,manmeri bilong Papua Niugini long Ostrelia
Samoan Australian,tagata Samoa i Ausetalia
Tongan Australians,kau ʻAositelēlia Tonga
